"Greensville County","179","","","9","6","29","","1","20","8","26","1","","1","","2","7","","","2","1","1","7","41","10","7"
"Hampton City","6,365","24","","278","64","1,290","36","7","472","174","4","3","10","99","1","87","9","3","1,226","238","19","880","387","658","384","12"
"Isle Of Wight County","723","1","","35","13","174","2","2","61","22","4","1","15","44","4","12","","","59","39","","55","61","91","27","1"
"James City County","1,691","5","","52","28","346","21","33","178","81","18","","32","77","11","14","2","","216","120","5","176","49","196","27","4"
"Mathews County","81","","","8","1","18","","","5","1","","","2","","","","","","1","16","","2","","24","3",""
"Middlesex County","144","1","","15","2","28","","","8","6","","","","2","1","1","","","2","7","","5","5","56","5",""
"Newport News City","7,410","30","","352","87","1,800","72","24","315","222","45","1","52","207","5","179","13","2","951","92","14","828","493","1,107","481","38"
"Norfolk City","15,264","10","","548","28","2,818","33","8","328","59","93","","9","2","","304","1","3","1,407","1,030","11","3,868","1,565","1,184","1,893","62"
"Northampton County","251","1","","16","13","77","5","","28","4","1","1","1","1","1","4","","","14","3","","10","2","61","5","3"
"Poquoson City","199","7","","9","7","58","6","2","19","6","4","","3","18","3","3","","","8","6","","4","4","27","4","1"
"Portsmouth City","7,373","12","","412","34","1,555","26","4","437","92","13","1","4","98","1","210","7","2","1,084","143","5","873","1,005","900","437","18"
"Southampton County","366","","","36","9","96","","3","6","12","3","","2","18","","","","","3","9","1","47","15","74","23","9"
"Suffolk City","3,087","11","1","102","33","787","34","13","168","51","54","2","13","31","1","61","1","","287","","2","250","345","645","175","20"
"Surry County","86","3","","6","","23","","","8","3","","","","3","","","","","1","1","","6","2","28","1","1"
"Sussex County","232","2","1","31","6","42","4","","12","4","2","1","3","3","2","5","","","14","2","","11","7","63","7","10"
"Virginia Beach City","12,019","24","","352","149","2,272","199","43","823","289","3","","3","557","2","140","10","12","1,329","455","12","2,895","78","1,507","829","36"
"Williamsburg City","502","","","10","12","163","17","3","39","6","4","","3","3","","3","","","52","18","4","73","23","60","7","2"
"York County","2,083","6","","40","28","479","69","24","254","63","4","2","4","32","3","22","2","1","352","40","4","267","90","259","29","9"
"Division 5 - Education","979","","","22","11","337","2","15","24","54","2","","3","2","4","2","3","","14","88","","93","37","242","18","6"
"Division 5 - Other","97","","","","","11","","","22","1","","","","","","","","","","1","","4","3","42","12","1"
"Alleghany County","214","3","1","26","9","36","3","","8","5","1","1","","9","1","","","","1","","","1","","100","5","4"
"Bath County","19","","","3","","5","","","2","2","","","","","","","","","","","","","","6","","1"
"Bedford County","1,316","4","1","109","32","208","11","8","176","46","2","3","12","42","1","6","1","1","89","72","3","71","78","276","59","5"
"Botetourt County","512","3","","23","30","98","7","7","58","22","11","2","22","27","","3","","","13","21","","33","14","89","22","7"
"Buena Vista City","79","2","","2","5","16","1","","2","1","1","","1","","","","3","","1","27","","","2","9","6",""
"Covington City","106","3","","6","","27","4","","8","6","","","","","","","","","11","1","","8","2","27","3",""
"Craig County","52","","","8","1","13","","","3","1","","","","","","","","","1","5","","3","","14","2","1"
"Danville City","2,161","8","","76","55","490","22","1","106","53","10","3","13","12","","25","","","478","57","2","255","79","314","98","4"
"Floyd County","118","","","18","4","21","1","","11","","","","2","6","","","","","2","8","1","7","1","21","14","1"
"Franklin County","1,077","2","","47","14","255","4","3","73","26","2","1","26","38","3","4","","","134","67","3","47","57","184","69","18"
"Henry County","1,289","6","","134","44","168","10","3","136","80","5","3","3","21","","15","1","1","97","25","7","86","97","212","129","6"
"Highland County","31","1","","2","","6","","","","","","","","","","","","2","","6","","4","1","7","","2"
"Lexington City","104","","","5","2","28","1","","11","3","1","1","3","","","1","","","12","9","1","6","4","14","1","1"
"Martinsville City","508","1","1","30","9","117","4","1","38","10","13","2","4","2","","10","","","69","9","2","17","26","117","26",""
"Montgomery County","2,230","8","","101","92","565","17","20","209","73","23","","39","83","3","6","1","","230","17","1","83","70","522","65","2"
"Patrick County","393","4","","38","4","89","2","2","36","10","5","","","10","1","2","","","15","10","","5","6","124","27","3"
"Pittsylvania County","742","3","","81","10","134","","1","39","55","2","2","30","17","1","2","","","17","27","","56","21","195","45","4"
"Radford City","398","1","","10","20","101","3","4","25","28","13","","","9","2","4","14","","22","","","19","9","91","23",""
"Roanoke City","6,645","24","","508","82","1,355","53","8","201","242","12","10","119","134","8","98","3","4","793","320","12","727","486","1,014","423","9"
"Roanoke County","2,430","4","","156","62","346","20","22","218","82","74","","131","102","24","24","2","","405","227","5","168","88","152","81","37"
"Rockbridge County","485","3","","47","13","83","5","2","30","16","13","","30","5","","1","","","52","32","1","28","19","78","24","3"
"Salem City","756","3","","52","17","142","10","1","66","21","1","","","","","7","1","","91","69","4","91","26","101","42","11"
"Division 6 - Education","731","3","","10","9","367","1","13","7","7","2","1","11","","5","2","14","","3","159","2","7","2","97","4","5"
"Alexandria City","5,474","4","4","160","69","1,342","29","9","272","176","4","1","13","246","12","104","13","9","572","394","1","470","406","706","339","119"
"Arlington County","7,408","4","","176","114","1,074","31","72","823","288","109","1","1","450","2","167","61","39","762","528","4","590","398","1,209","413","92"
"Fairfax City","943","2","","17","45","169","13","5","70","27","8","","1","22","1","12","10","1","177","99","","86","8","127","42","1"
"Fairfax County","28,385","13","","700","396","5,049","120","185","1,533","767","1,901","3","71","19","2","468","55","56","5,893","980","5","3,277","1,551","3,832","1,438","71"
"Falls Church City","426","1","1","12","15","80","3","3","31","16","1","","7","4","1","6","2","","39","61","","36","43","39","24","1"
"Loudoun County","6,852","38","2","130","153","1,252","45","110","749","313","391","2","88","394","34","50","16","9","786","247","2","575","276","964","214","12"
"Manassas City","1,723","5","","51","14","377","5","10","132","63","45","4","25","30","2","38","1","","127","107","7","312","85","197","75","11"
"Manassas Park City","407","1","","20","11","87","","3","30","14","3","","2","15","","4","10","","21","1","","47","16","93","24","5"
"Prince William County","11,396","32","2","431","110","1,457","101","74","1,038","692","89","7","315","491","51","225","16","4","1,971","576","19","1,600","628","789","604","74"
"Division 7 - Education","212","2","","1","5","71","","10","13","2","5","","","","","1","","","9","45","","1","","42","4","1"
"Division 7 - Other","616","","","","8","77","2","2","58","8","1","","","18","","1","","","8","2","","35","3","293","93","7"
"Statewide Departments","582","1","","4","143","60","5","","206","1","25","","","","","","","","15","","2","2","","73","38","7"

Column suppression applied.
