Incident_case_id,Date,Clearance_code_inc_type,PGPD Reporting Area,PGPD Sector,PGPD Beat,Street_Number,Street_Address,Latitude,Longitude,Location 
PP21102300000142,10/23/2021,"ASSAULT, WEAPON",841,D,D6,9400 BLOCK,9409 ANNAPOLIS RD EB,38.96474289894104,-76.84562569856644,"(38.96474289894104, -76.84562569856644)"
PP21102300001232,10/23/2021,ACCIDENT,225,B,B3,6300 BLOCK,6316 RIVERDALE RD WB,38.96146206557751,-76.90796153247356,"(38.96146206557751, -76.90796153247356)"
PP21102300001093,10/23/2021,ACCIDENT WITH IMPOUND,839,D,D5,9100 BLOCK,9106 ANNAPOLIS RD WB,38.963758647441864,-76.85743670165539,"(38.963758647441864, -76.85743670165539)"
PP21102300000431,10/23/2021,THEFT,124,A,A3,6800 BLOCK,6809 NEW HAMPSHIRE AVE NB,38.97294497489929,-76.99654403328896,"(38.97294497489929, -76.99654403328896)"
PP21102300000615,10/23/2021,"AUTO, STOLEN",842,D,D6,9800 BLOCK,9800 MARTIN LUTHER KING JUNIOR HWY WB,38.95096339285374,-76.83742360770702,"(38.95096339285374, -76.83742360770702)"
PP21102300000856,10/23/2021,THEFT,731,F,F3,8000 BLOCK,8021 MALCOLM RD,38.78036005795002,-76.88926078379154,"(38.78036005795002, -76.88926078379154)"
PP21102300001336,10/23/2021,ACCIDENT,408,H,H1,,BENNING RD / BALBOA AVE,38.87484806776047,-76.92994311451912,"(38.87484806776047, -76.92994311451912)"
PP21102300000885,10/23/2021,ACCIDENT WITH IMPOUND,827,D,D2,,LANHAM SEVERN RD / WOOD STREAM DR,38.97950664162636,-76.83283044397831,"(38.97950664162636, -76.83283044397831)"
PP21102300001207,10/23/2021,ACCIDENT,205,B,B7,,DELAWARE ST / 48TH AVE,39.00542522966862,-76.92895886301994,"(39.00542522966862, -76.92895886301994)"
PP21102300000926,10/23/2021,ACCIDENT,604,J,J6,6100 BLOCK,6130 OXON HILL RD NB,38.80463822185993,-76.97718711197376,"(38.80463822185993, -76.97718711197376)"
PP21102300000068,10/23/2021,ACCIDENT WITH IMPOUND,513,K,K6,,TEMPLE HILL RD / HAGAN RD,38.817761555314064,-76.94962811470032,"(38.817761555314064, -76.94962811470032)"
PP21102300001653,10/23/2021,THEFT FROM AUTO,773,E,E5,4800 BLOCK,4841 CRAIN HWY SW,38.823338970541954,-76.73604586720467,"(38.823338970541954, -76.73604586720467)"
PP21102300001013,10/23/2021,THEFT,169,B,B7,4700 BLOCK,4720 CHERRY HILL RD WB,39.0165800601244,-76.92895886301994,"(39.0165800601244, -76.92895886301994)"
PP21102300001174,10/23/2021,THEFT FROM AUTO,514,J,J1,600 BLOCK,637 MAURY AVE,38.82202664017677,-76.99884061515331,"(38.82202664017677, -76.99884061515331)"
PP21102300000724,10/23/2021,"B & E, COMMERCIAL",618,F,F1,6300 BLOCK,6345 OLD BRANCH AVE SB,38.801685482263565,-76.90632110834122,"(38.801685482263565, -76.90632110834122)"
PP21102300000103,10/23/2021,"AUTO, STOLEN",416,H,H2,5000 BLOCK,5006 LEE JAY CT,38.866645976901054,-76.91846019029617,"(38.866645976901054, -76.91846019029617)"
PP21102300001682,10/23/2021,THEFT FROM AUTO,940,C,C1,10500 BLOCK,10515 BALTIMORE AVE NB,39.02740681171417,-76.917475938797,"(39.02740681171417, -76.917475938797)"
